video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=_B9bkI97ntM&pp=ygUQSS00MDUgV2FzaGluZ3Rvbg%3D%3D,/@KING5Seattle,KING 5 Seattle,WSDOT apologizes after extensive traffic mess during I-405 construction,12K,6 months,"After recent construction and closures on I-405 caused miles-long backups, the Washington Department of Transportation is ...",2026-01-20 20:50:20.281617
/watch?v=xkoUkFH1CoU&pp=ygUQSS00MDUgV2FzaGluZ3Rvbg%3D%3D,/@KING5Seattle,KING 5 Seattle,I-405 widening and express toll lanes project delayed to 2027,1.9K,1 month,WSDOT has cited contractor setbacks and has taken the design-build contractor to court.,2026-01-20 20:50:20.282857
/watch?v=Stxvli85b7Q&pp=ygUQSS00MDUgV2FzaGluZ3Rvbg%3D%3D,/@OranV,Oran V,I-405 9 am Traffic,5.7K,14 years,"I-405 is Washington's most congested freeway, serving Seattle's Eastside. You can see that after 9 am traffic still packs all lanes, ...",2026-01-20 20:50:20.285021
/watch?v=dTLkYEjxdGM&pp=ygUQSS00MDUgV2FzaGluZ3Rvbg%3D%3D,/@AmericanOutbackAmazing,American Outback,"Tacoma to Leavenworth, Washington | Valley Freeway and I-405 | Eastside Driving | Stevens Pass",2.4K,2 years,"This video was made the first weekend of fall 2023. It shows the drive north on the following highways: Highway 512, Highway ...",2026-01-20 20:50:20.288277
/watch?v=MC4pdS45sPU&pp=ygUQSS00MDUgV2FzaGluZ3Rvbg%3D%3D,/@KING5Seattle,KING 5 Seattle,"WSDOT plans major I-405, I-5 lane closures this weekend",1.2K,2 months,"Weather could cancel the I-405 construction, but rain will not affect the I-5 lane reductions over the weekend, WSDOT said.",2026-01-20 20:50:20.289539
/watch?v=O-qp3f_-0_Q&pp=ygUQSS00MDUgV2FzaGluZ3Rvbg%3D%3D,/@fox13seattle,FOX 13 Seattle,"WSDOT eyes possible $15, $18 tolls on I-405 | FOX 13 Seattle",919,2 years,The cost to drive on I-405 and SR 167 could soon cost you more. Subscribe to FOX 13 Seattle: ...,2026-01-20 20:50:20.293531
/watch?v=eMwZkWPaaJU&pp=ygUQSS00MDUgV2FzaGluZ3Rvbg%3D%3D,/@KING5Seattle,KING 5 Seattle,I-405 tolls coming between Renton-Bellevue,865,8 years,KING 5's Jake Whittenberg reporting.,2026-01-20 20:50:20.294889
/watch?v=iTXg_hW2938&pp=ygUQSS00MDUgV2FzaGluZ3Rvbg%3D%3D,/@roadwaywiz,roadwaywiz,Seattle Bypass (Interstate 405 Exits 1 to 11) northbound,5.9K,4 years,Interstate 405 is a north-south freeway corridor mainly serving the eastern suburbs and edge cities of Seattle along the east bank ...,2026-01-20 20:50:20.300623
/watch?v=fi_bDol7MaU&pp=ygUQSS00MDUgV2FzaGluZ3Rvbg%3D%3D,/@SteveBreckton,Steve Breckton Roams,"Drive I405 Renton, Wa to Lynnwood, Wa",10K,9 years,"Join me as I drive on I 405 from renton to lynnwood If you like this video and would like to see more, consider donating a dollar to ...",2026-01-20 20:50:20.301836
/watch?v=Cakp1z_JtWI&pp=ygUQSS00MDUgV2FzaGluZ3Rvbg%3D%3D,/@SantoshBKarale,Santosh Karale,I-405 Driving from Bothell to Kirkland Washington State,190,2 years,I405 Washington state.,2026-01-20 20:50:20.302979
