video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=4WABu5yFM-c&pp=ygUMSW50ZXJzdGF0ZSA1,/@KGETNews,KGET News,Southbound I-5 slowdown due to semi truck fire,483,4 weeks,Southbound I-5 slowdown due to semi truck fire.,2026-01-20 20:38:18.679362
/watch?v=cczRaKnVZPA&pp=ygUMSW50ZXJzdGF0ZSA1,/@AsphaltPlanet1,Asphalt Planet,Golden State Freeway - Interstate 5 North - Los Angeles to Grapevine (Central Valley),48K,3 years,Drivelapse video of Interstate 5 starting from just east of the East Los Angeles Interchange and heading northerly through LA ...,2026-01-20 20:38:18.680657
/watch?v=w-s8JRTWFfQ&pp=ygUMSW50ZXJzdGF0ZSA1,/@fox5sd,FOX 5 San Diego,I-5 Reopens Following Deadly Crash,2.1K,2 years,"The collision happened around 10:45 a.m. on southbound I-5, near Encinitas Boulevard, Officer Hunter Gerber with California ...",2026-01-20 20:38:18.682450
/shorts/HLu_jSffJv0,/@ABC7,ABC7,5 Freeway shutdown snarls traffic near Camp Pendleton,135K,3 months,"A 17-mile stretch of the 5 Freeway was shut down for about an hour, causing a traffic nightmare near Camp Pendleton, ahead of a ...",2026-01-20 20:38:26.772297
/watch?v=LRCxyzKBhYo&pp=ygUMSW50ZXJzdGF0ZSA1,/@ktlathecw,KTLA 5,Storm Alert: 5 Freeway submerged under floodwaters,179K,3 weeks,Torrential downpours from Wednesday's atmospheric river event have caused widespread street flooding across metro Los ...,2026-01-20 20:38:26.773322
/watch?v=6IhkKVKVMnI&pp=ygUMSW50ZXJzdGF0ZSA10gcJCU8KAYcqIYzv,/@InterstateKyle,InterstateKyle,2K21 (EP 1) Interstate 5 in Southern Oregon: Ashland to Grants Pass,16K,4 years,Want to support InterstateKyle and help fund his road travels? Please contribute on my monthly Patreon and unlock exclusive ...,2026-01-20 20:38:26.774019
/watch?v=iStzDWintTU&pp=ygUMSW50ZXJzdGF0ZSA1,/@fox5sd,FOX 5 San Diego,Portion of northbound I-5 closed from Oct. 24-27,7.1K,2 months,Crews with the California Department of Transportation will close parts of northbound Interstate 5 this weekend until early Monday ...,2026-01-20 20:38:26.774728
/watch?v=KcYsRY5dvDU&pp=ygUMSW50ZXJzdGF0ZSA1,/@cbs8sandiego,CBS 8 San Diego,Money on I-5 in Carlsbad stops traffic as San Diegans gather up cash,42K,4 years,An armored vehicle was in a minor traffic incident on northbound Interstate 5 near Tamarack Avenue in Carlsbad at 9:15 a.m. ...,2026-01-20 20:38:26.775472
/watch?v=UgIt3itNME4&pp=ygUMSW50ZXJzdGF0ZSA1,/@KCRA,KCRA 3,Downpours trigger flooding on I-5 in Southern California,11K,3 weeks,Here's a look at some of the severe weather impacts in Southern California. KCRA 3 is your home for California breaking news ...,2026-01-20 20:38:26.776138
/watch?v=TKDeSadpwMM&pp=ygUMSW50ZXJzdGF0ZSA1,/@CBSLA,CBS LA,I-5 Closed In Commerce After Crash Leaves 3 Dead,66K,9 years,"The accident on the southbound I-5 at Garfield Avenue took place just after midnight, the CHP said. Jennifer Kastner reports.",2026-01-20 20:38:26.777453
